1	2	1	4	1	0	0	2	2	0	2	2	3	4	4	4	3
2	1	1	2	1	1	1	2	2	1	2	2	1	1	1	1	2
3	.	.	.	.	.	.	.	0	.	.	.	.	.	.	0	.
4	4	0	3	2	1	1	3	1	0	4	2	2	4	2	2	2
5	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
6	1	2	2	1	0	1	2	2	1	.	.	2	2	2	2	2
7	3	0	1	1	.	0	2	3	2	2	1	3	2	0	3	3
8	4	4	4	2	2	2	2	2	1	3	3	1	3	3	2	2
9	3	0	0	.	.	.	2	2	3	1	1	4	3	3	4	3
10	1	0	0	0	1	0	.	1	1	2	0	3	3	1	2	3
11	2	3	3	1	1	1	2	1	1	2	2	3	3	2	2	1
12	2	2	2	.	.	.	2	2	.	.	2	.	.	2	2	2
13	2	1	4	0	1	2	2	4	1	2	2	3	3	3	4	2
14	1	0	3	1	0	0	0	0	0	1	0	1	1	1	1	3
15	1	0	4	0	0	0	1	1	2	3	1	1	2	2	4	3
16	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
17	3	0	2	1	1	1	1	2	1	2	2	2	2	2	2	2
18	3	3	3	1	1	1	2	2	3	2	2	2	2	2	2	2
19	2	2	2	1	0	.	2	2	2	4	2	.	.	.	.	2
20	4	0	0	0	0	0	0	0	.	2	0	0	0	0	0	4
21	4	4	4	1	1	2	4	4	2	0	3	3	4	3	4	3
22	4	0	1	.	.	.	3	1	2	1	4	1	0	0	0	4
23	1	0	.	2	2	.	2	3	.	3	.	2	.	.	2	2
24	1	0	2	.	.	.	2	3	0	2	.	2	0	0	2	4
25	1	0	2	.	1	0	0	1	2	1	2	1	2	2	4	2
26	1	0	2	2	.	.	1	.	.	2	1	1	.	2	3	3
27	3	1	2	0	.	.	2	3	1	2	2	4	3	3	2	3
28	3	4	3	1	0	2	2	4	1	4	4	.	2	2	3	2
29	.	.	3	2	2	2	2	2	3	.	.	4	4	4	.	2
30	2	0	3	1	.	.	1	2	2	2	1	2	2	1	1	2
31	4	1	2	1	0	.	1	2	2	3	4	3	3	4	4	3
32	3	1	3	0	0	0	2	2	1	1	2	3	2	2	2	3
33	3	1	3	0	.	.	2	2	1	1	2	3	0	1	4	2
34	2	1	2	1	0	.	1	2	3	2	2	4	4	4	4	3
35	3	0	4	1	1	0	2	1	2	2	1	3	2	2	1	3
36	3	1	2	.	0	1	1	3	2	3	2	3	3	3	3	2
37	0	0	3	1	0	0	1	3	0	0	0	2	0	2	3	3
38	2	2	2	.	.	.	.	.	1	0	0	.	.	.	.	.
39	.	1	1	2	.	2	.	1	2	1	1	0	4	1	.	.
