     2.000     1.000     4.000     1.000     0.000     0.000     2.000     2.000     3.000     0.000     2.000     2.000     3.000     4.000     4.000     4.000     0.000     0.074     0.926     3.000    1 1779
     1.000     1.000     2.000     1.000     1.000     1.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     1.000     1.000     1.000     0.536     0.000     0.464     1.000    2 1779
         *         *         *         *         *         *         *     0.000         *         *         *         *         *         *         *     0.000     0.958     0.000     0.042     1.000    3 1779
     4.000     0.000     3.000     2.000     1.000     1.000     3.000     1.000     2.000     0.000     4.000     2.000     2.000     4.000     2.000     2.000     0.000     0.058     0.942     3.000    4 1779
     1.000     2.000     2.000     1.000     0.000     1.000     2.000     2.000     2.000     1.000         *         *     2.000     2.000     2.000     2.000     0.006     0.000     0.994     3.000    6 1779
     3.000     0.000     1.000     1.000         *     0.000     2.000     3.000     3.000     2.000     2.000     1.000     3.000     2.000     0.000     3.000     0.029     0.000     0.971     3.000    7 1779
     4.000     4.000     4.000     2.000     2.000     2.000     2.000     2.000     2.000     1.000     3.000     3.000     1.000     3.000     3.000     2.000     0.000     0.999     0.001     2.000    8 1779
     3.000     0.000     0.000         *         *         *     2.000     2.000     3.000     3.000     1.000     1.000     4.000     3.000     3.000     4.000     0.000     0.075     0.925     3.000    9 1779
     1.000     0.000     0.000     0.000     1.000     0.000         *     1.000     3.000     1.000     2.000     0.000     3.000     3.000     1.000     2.000     0.671     0.000     0.329     1.000   10 1779
     2.000     3.000     3.000     1.000     1.000     1.000     2.000     1.000     1.000     1.000     2.000     2.000     3.000     3.000     2.000     2.000     0.000     0.030     0.970     3.000   11 1779
     2.000     2.000     2.000         *         *         *     2.000     2.000     2.000         *         *     2.000         *         *     2.000     2.000     0.010     0.013     0.977     3.000   12 1779
     2.000     1.000     4.000     0.000     1.000     2.000     2.000     4.000     2.000     1.000     2.000     2.000     3.000     3.000     3.000     4.000     0.000     0.917     0.083     2.000   13 1779
     1.000     0.000     3.000     1.000     0.000     0.000     0.000     0.000     3.000     0.000     1.000     0.000     1.000     1.000     1.000     1.000     1.000     0.000     0.000     1.000   14 1779
     1.000     0.000     4.000     0.000     0.000     0.000     1.000     1.000     3.000     2.000     3.000     1.000     1.000     2.000     2.000     4.000     0.120     0.000     0.880     3.000   15 1779
     3.000     0.000     2.000     1.000     1.000     1.000     1.000     2.000     2.000     1.000     2.000     2.000     2.000     2.000     2.000     2.000     0.002     0.000     0.998     3.000   17 1779
     3.000     3.000     3.000     1.000     1.000     1.000     2.000     2.000     2.000     3.000     2.000     2.000     2.000     2.000     2.000     2.000     0.000     0.126     0.874     3.000   18 1779
     2.000     2.000     2.000     1.000     0.000         *     2.000     2.000     2.000     2.000     4.000     2.000         *         *         *         *     0.003     0.033     0.964     3.000   19 1779
     4.000     0.000     0.000     0.000     0.000     0.000     0.000     0.000     4.000         *     2.000     0.000     0.000     0.000     0.000     0.000     1.000     0.000     0.000     1.000   20 1779
     4.000     4.000     4.000     1.000     1.000     2.000     4.000     4.000     3.000     2.000     0.000     3.000     3.000     4.000     3.000     4.000     0.000     1.000     0.000     2.000   21 1779
     4.000     0.000     1.000         *         *         *     3.000     1.000     4.000     2.000     1.000     4.000     1.000     0.000     0.000     0.000     0.984     0.000     0.016     1.000   22 1779
     1.000     0.000         *     2.000     2.000         *     2.000     3.000     2.000         *     3.000         *     2.000         *         *     2.000     0.001     0.620     0.379     2.000   23 1779
     1.000     0.000     2.000         *         *         *     2.000     3.000     4.000     0.000     2.000         *     2.000     0.000     0.000     2.000     0.995     0.000     0.005     1.000   24 1779
     1.000     0.000     2.000         *     1.000     0.000     0.000     1.000     2.000     2.000     1.000     2.000     1.000     2.000     2.000     4.000     0.131     0.000     0.869     3.000   25 1779
     1.000     0.000     2.000     2.000         *         *     1.000         *     3.000         *     2.000     1.000     1.000         *     2.000     3.000     0.393     0.000     0.607     3.000   26 1779
     3.000     1.000     2.000     0.000         *         *     2.000     3.000     3.000     1.000     2.000     2.000     4.000     3.000     3.000     2.000     0.000     0.127     0.873     3.000   27 1779
     3.000     4.000     3.000     1.000     0.000     2.000     2.000     4.000     2.000     1.000     4.000     4.000         *     2.000     2.000     3.000     0.000     0.930     0.070     2.000   28 1779
         *         *     3.000     2.000     2.000     2.000     2.000     2.000     2.000     3.000         *         *     4.000     4.000     4.000         *     0.000     1.000     0.000     2.000   29 1779
     2.000     0.000     3.000     1.000         *         *     1.000     2.000     2.000     2.000     2.000     1.000     2.000     2.000     1.000     1.000     0.162     0.000     0.838     3.000   30 1779
     4.000     1.000     2.000     1.000     0.000         *     1.000     2.000     3.000     2.000     3.000     4.000     3.000     3.000     4.000     4.000     0.000     0.758     0.242     2.000   31 1779
     3.000     1.000     3.000     0.000     0.000     0.000     2.000     2.000     3.000     1.000     1.000     2.000     3.000     2.000     2.000     2.000     0.003     0.000     0.997     3.000   32 1779
     3.000     1.000     3.000     0.000         *         *     2.000     2.000     2.000     1.000     1.000     2.000     3.000     0.000     1.000     4.000     0.070     0.000     0.930     3.000   33 1779
     2.000     1.000     2.000     1.000     0.000         *     1.000     2.000     3.000     3.000     2.000     2.000     4.000     4.000     4.000     4.000     0.000     0.792     0.208     2.000   34 1779
     3.000     0.000     4.000     1.000     1.000     0.000     2.000     1.000     3.000     2.000     2.000     1.000     3.000     2.000     2.000     1.000     0.002     0.000     0.997     3.000   35 1779
     3.000     1.000     2.000         *     0.000     1.000     1.000     3.000     2.000     2.000     3.000     2.000     3.000     3.000     3.000     3.000     0.000     0.088     0.912     3.000   36 1779
     0.000     0.000     3.000     1.000     0.000     0.000     1.000     3.000     3.000     0.000     0.000     0.000     2.000     0.000     2.000     3.000     0.982     0.000     0.018     1.000   37 1779
     2.000     2.000     2.000         *         *         *         *         *         *     1.000     0.000     0.000         *         *         *         *     0.735     0.000     0.265     1.000   38 1779
         *     1.000     1.000     2.000         *     2.000         *     1.000         *     2.000     1.000     1.000     0.000     4.000     1.000         *     0.022     0.000     0.978     3.000   39 1779
         *     0.000     3.000     1.000     0.000         *     1.000     3.000     3.000     1.000     0.000     2.000     2.000     0.000     0.000     2.000     0.985     0.000     0.015     1.000   40 1779
     1.000     1.000     0.000     1.000         *         *     2.000     1.000     4.000     1.000     1.000     0.000     1.000     1.000     0.000     0.000     1.000     0.000     0.000     1.000   41 1779
     1.000     3.000     2.000     1.000     1.000     1.000     2.000     2.000     2.000     1.000     3.000     1.000     2.000     2.000     2.000     2.000     0.001     0.001     0.998     3.000   42 1779
     1.000     2.000     3.000     2.000         *         *     2.000     3.000     3.000         *     2.000     2.000     2.000     2.000     3.000     3.000     0.000     0.150     0.850     3.000   44 1779
     4.000     1.000     3.000     1.000     1.000     2.000     2.000     2.000     1.000     3.000     2.000     3.000     4.000     3.000     3.000     4.000     0.000     0.997     0.003     2.000   45 1779
     3.000     3.000     1.000         *         *         *     1.000     1.000     3.000         *     2.000     2.000         *     0.000     1.000     3.000     0.788     0.000     0.212     1.000   46 1779
     3.000     2.000     3.000     2.000         *     0.000     3.000     4.000     3.000     2.000     2.000     1.000     3.000     3.000     2.000     2.000     0.000     0.537     0.463     2.000   47 1779
         *         *     3.000         *         *         *     1.000     2.000     2.000         *     2.000     2.000     2.000     2.000     2.000     3.000     0.004     0.003     0.993     3.000   48 1779
         *     1.000     2.000     1.000         *     0.000     2.000     2.000     4.000     2.000     2.000     2.000     3.000     1.000     2.000     4.000     0.002     0.001     0.997     3.000   49 1779
     1.000     1.000     2.000         *         *         *         *         *         *         *     1.000     1.000         *         *         *         *     0.757     0.001     0.243     1.000   50 1779
     1.000     0.000     2.000     1.000     1.000         *     1.000     2.000     3.000     3.000     2.000     2.000     2.000     2.000     2.000         *     0.003     0.001     0.996     3.000   51 1779
     1.000     2.000     1.000     1.000         *         *     0.000     0.000     3.000         *     1.000     0.000     2.000     1.000     2.000     0.000     0.998     0.000     0.002     1.000   52 1779
     4.000     3.000     1.000         *         *     1.000     3.000     3.000     3.000     1.000     1.000         *     1.000     3.000     1.000     3.000     0.000     0.010     0.990     3.000   53 1779
     2.000     1.000     2.000     1.000     1.000     1.000     2.000     2.000     2.000     0.000     2.000     2.000     0.000     2.000     4.000     3.000     0.000     0.001     0.999     3.000   54 1779
     4.000     2.000     0.000     1.000     0.000     2.000     4.000     0.000     4.000     2.000     4.000     3.000     2.000     3.000     2.000     1.000     0.000     0.008     0.992     3.000   55 1779
     4.000         *     1.000     1.000     0.000     1.000     1.000     3.000     3.000         *     2.000         *     2.000     3.000     3.000     3.000     0.000     0.030     0.970     3.000   56 1779
     2.000     3.000     2.000     1.000     0.000     0.000     2.000     2.000     2.000     1.000     2.000     2.000     3.000     2.000     2.000     2.000     0.001     0.000     0.999     3.000   57 1779
     0.000     0.000     2.000         *     0.000     2.000     1.000     0.000     3.000     0.000     1.000     0.000     0.000     0.000     0.000     4.000     1.000     0.000     0.000     1.000   58 1779
     2.000     0.000     3.000     1.000     0.000         *     2.000     4.000     3.000     1.000     2.000     3.000     4.000     4.000     3.000     4.000     0.000     0.838     0.162     2.000   59 1779
